sku,count,width,height,depth
24788,69,10.0,5.0,10.0
4237,69,10.0,29.0,10.0
8764,69,30.0,5.0,51.0
5547,69,9.0,6.0,19.0
12798,69,17.0,3.0,21.0
26457,69,32.0,7.0,52.0
6947,68,27.0,36.0,41.0
8418,68,11.0,7.0,5.0
9508,68,13.0,10.0,17.0
21981,68,22.0,10.0,20.0
11407,68,26.0,11.0,29.0
18882,68,39.0,19.0,34.0
26658,68,11.0,36.0,10.0
25048,68,11.0,7.0,20.0
3704,68,36.0,36.0,14.0
5896,68,18.0,22.0,21.0
8660,68,30.0,8.0,31.0
7673,68,20.0,3.0,16.0
9826,68,17.0,4.0,10.0
20169,68,49.0,26.0,30.0
28248,68,35.0,27.0,50.0
28207,68,10.0,10.0,10.0
273,67,23.0,24.0,20.0
13359,67,40.0,6.0,40.0
14147,67,2.0,3.0,7.0
16570,67,33.0,13.0,19.0
25391,67,45.0,22.0,23.0
10705,67,24.0,34.0,24.0
11822,67,18.0,3.0,8.0
10533,67,51.0,19.0,34.0
8472,67,31.0,25.0,40.0
9838,67,8.0,8.0,8.0
24934,67,21.0,12.0,33.0
9206,67,13.0,3.0,11.0
10888,67,10.0,4.0,10.0
23293,67,25.0,6.0,18.0
17671,67,19.0,3.0,26.0
25365,67,23.0,19.0,19.0
3651,67,24.0,4.0,13.0
5129,66,8.0,18.0,46.0
12906,66,31.0,28.0,44.0
25806,66,10.0,4.0,14.0
29267,66,24.0,12.0,21.0
5020,66,7.0,17.0,13.0
18781,66,34.0,27.0,19.0
7165,66,14.0,18.0,29.0
389,66,12.0,23.0,17.0
4238,66,47.0,66.0,47.0
10057,66,25.0,49.0,61.0
7984,66,31.0,18.0,33.0
3020,66,13.0,16.0,41.0
24615,66,28.0,43.0,42.0
7580,66,5.0,20.0,5.0
7560,66,34.0,7.0,37.0
15333,65,44.0,5.0,46.0
14817,65,24.0,20.0,19.0
31346,65,25.0,10.0,39.0
13541,65,19.0,5.0,13.0
11417,65,32.0,5.0,33.0
12638,65,9.0,2.0,11.0
14132,65,21.0,8.0,57.0
25463,65,10.0,10.0,10.0
8092,65,16.0,5.0,7.0
9931,65,22.0,12.0,26.0
11906,65,6.0,2.0,17.0
5902,65,23.0,14.0,27.0
1549,65,30.0,3.0,21.0
7420,65,10.0,5.0,12.0
29313,65,33.0,16.0,43.0
22497,65,11.0,4.0,15.0
4505,65,33.0,13.0,45.0
6028,65,18.0,21.0,10.0
28340,65,17.0,24.0,22.0
6360,65,43.0,13.0,38.0
29033,65,14.0,6.0,22.0
14552,65,17.0,2.0,39.0
3896,65,22.0,14.0,45.0
21986,65,19.0,43.0,19.0
29151,65,13.0,7.0,33.0
26723,64,9.0,29.0,52.0
27414,64,14.0,10.0,23.0
17404,64,25.0,5.0,16.0
25744,64,27.0,7.0,16.0
25735,64,35.0,7.0,17.0
19569,64,41.0,20.0,18.0
15246,64,9.0,5.0,19.0
2210,64,18.0,27.0,34.0
14025,64,13.0,65.0,26.0
20179,64,18.0,6.0,21.0
5911,64,20.0,8.0,12.0
5763,64,40.0,10.0,41.0
8309,64,30.0,22.0,33.0
14733,64,9.0,36.0,9.0
26997,64,14.0,11.0,15.0
4886,64,23.0,17.0,40.0
16001,64,43.0,24.0,11.0
11432,64,47.0,13.0,25.0
8840,64,10.0,34.0,12.0
21066,63,63.0,45.0,13.0
8367,63,42.0,20.0,34.0
3328,63,35.0,52.0,36.0
12126,63,20.0,6.0,13.0
1613,63,39.0,13.0,36.0
11839,63,19.0,5.0,25.0
19999,63,36.0,7.0,29.0
17547,63,14.0,2.0,17.0
4609,63,37.0,28.0,26.0
4979,63,31.0,16.0,23.0
24339,63,30.0,10.0,21.0
3511,63,22.0,5.0,23.0
12236,63,43.0,36.0,28.0
13339,63,10.0,2.0,14.0
13091,63,21.0,24.0,13.0
12954,63,7.0,17.0,12.0
27712,63,54.0,19.0,64.0
7011,63,18.0,3.0,11.0
8361,63,14.0,2.0,56.0
6231,63,25.0,19.0,13.0
13301,63,20.0,4.0,9.0
5868,63,48.0,7.0,36.0
2944,63,25.0,18.0,28.0
23341,63,38.0,35.0,50.0
13923,63,26.0,19.0,50.0
14077,62,34.0,12.0,23.0
10306,62,18.0,28.0,25.0
15869,62,24.0,22.0,48.0
15357,62,38.0,29.0,44.0
30676,62,21.0,12.0,33.0
27540,62,31.0,3.0,45.0
25589,62,17.0,7.0,35.0
24930,62,19.0,15.0,40.0
22253,62,28.0,1.0,18.0
6905,62,41.0,29.0,20.0
5909,62,20.0,5.0,28.0
3191,62,29.0,22.0,17.0
24464,62,10.0,10.0,10.0
8546,62,19.0,9.0,38.0
15127,62,21.0,28.0,13.0
5765,62,7.0,29.0,20.0
17310,61,41.0,49.0,40.0
12373,61,41.0,9.0,46.0
15356,61,7.0,4.0,22.0
14483,61,19.0,8.0,26.0
18558,61,12.0,9.0,17.0
25172,61,20.0,12.0,32.0
24145,61,48.0,33.0,62.0
15595,61,33.0,6.0,55.0
19905,61,10.0,10.0,10.0
9563,61,27.0,52.0,28.0
30193,61,43.0,10.0,35.0
17475,61,2.0,65.0,33.0
28966,61,28.0,2.0,38.0
9445,61,32.0,8.0,24.0
4975,61,13.0,10.0,14.0
14916,60,10.0,10.0,10.0
25736,60,16.0,7.0,35.0
13904,60,21.0,9.0,22.0
970,60,23.0,5.0,23.0
23506,60,30.0,9.0,52.0
31488,60,70.0,23.0,70.0
30435,60,32.0,11.0,20.0
7464,60,24.0,13.0,26.0
16897,60,52.0,25.0,43.0
24670,60,21.0,13.0,34.0
7684,60,30.0,5.0,32.0
30113,60,38.0,4.0,31.0
365,60,10.0,25.0,44.0
10076,60,43.0,25.0,47.0
9155,60,28.0,15.0,27.0
29008,59,43.0,35.0,10.0
28061,59,40.0,15.0,65.0
